Age,Account_balance,Personal_loan_ind,Home_loan_ind,Prime_Customer_ind,Overall_Satisfaction
49,23974,1,0,1,Dis Satisfied
25,72374,0,1,1,Satisfied
32,65532,0,0,1,Satisfied
70,28076,0,1,1,Dis Satisfied
23,38974,1,1,1,Satisfied
20,56405,0,0,1,Satisfied
39,82439,1,1,1,Satisfied
58,22109,1,0,0,Dis Satisfied
41,53453,0,1,1,Satisfied
24,57168,1,1,1,Satisfied
37,34095,0,0,1,Satisfied
47,6015,1,0,0,Dis Satisfied
44,20010,0,0,1,Dis Satisfied
46,84763,1,0,1,Satisfied
34,6093,1,1,0,Dis Satisfied
33,74908,1,1,1,Satisfied
70,9909,0,1,0,Dis Satisfied
34,37962,0,0,1,Dis Satisfied
38,48721,0,1,1,Satisfied
48,39303,1,0,1,Satisfied
31,73507,1,0,1,Satisfied
49,20046,0,1,0,Dis Satisfied
45,19030,1,1,0,Dis Satisfied
35,29965,1,1,0,Dis Satisfied
22,35095,0,1,1,Satisfied
23,72886,0,1,1,Satisfied
38,53917,0,0,1,Satisfied
37,19043,1,0,0,Dis Satisfied
63,37112,1,0,1,Dis Satisfied
28,33072,1,1,1,Satisfied
41,83101,1,0,1,Satisfied
34,21997,0,0,0,Dis Satisfied
63,11995,0,1,1,Dis Satisfied
49,8987,1,1,0,Dis Satisfied
33,35037,1,0,1,Satisfied
50,15961,1,1,1,Dis Satisfied
45,57466,1,0,0,Satisfied
32,38468,1,0,1,Satisfied
39,23945,1,0,0,Dis Satisfied
40,20001,0,1,0,Dis Satisfied
26,66499,1,0,1,Satisfied
34,47757,0,0,1,Satisfied
28,46420,1,1,1,Satisfied
41,29018,1,1,1,Dis Satisfied
45,6917,0,0,0,Dis Satisfied
51,21012,1,1,0,Dis Satisfied
24,54598,1,0,0,Satisfied
38,80512,1,1,1,Satisfied
45,68039,0,0,1,Satisfied
69,26918,0,1,1,Dis Satisfied
42,16080,0,1,1,Dis Satisfied
21,30070,1,0,1,Satisfied
23,72497,1,0,1,Satisfied
22,65480,1,1,1,Satisfied
68,9030,1,1,0,Dis Satisfied
42,94691,0,0,1,Satisfied
56,6992,0,1,0,Dis Satisfied
59,5959,1,1,0,Dis Satisfied
47,10047,1,1,0,Dis Satisfied
72,31101,0,1,0,Dis Satisfied
24,84603,1,0,1,Dis Satisfied
55,11915,1,0,0,Satisfied
29,34027,1,1,1,Dis Satisfied
55,27958,0,0,1,Satisfied
42,35118,0,0,1,Dis Satisfied
24,44446,0,1,1,Dis Satisfied
66,16964,0,0,1,Satisfied
43,103971,1,0,1,Satisfied
50,32031,0,0,1,Satisfied
67,34034,1,0,0,Dis Satisfied
52,30963,1,0,1,Dis Satisfied
38,45279,1,1,1,Dis Satisfied
49,35058,0,0,0,Satisfied
51,34974,0,1,1,Satisfied
47,22073,1,1,0,Dis Satisfied
26,85089,1,1,1,Satisfied
35,60846,0,1,1,Satisfied
66,13003,1,0,1,Dis Satisfied
38,73167,1,1,1,Satisfied
40,64234,1,0,1,Satisfied
41,50811,1,1,0,Satisfied
68,37986,0,1,1,Dis Satisfied
46,9009,0,0,1,Dis Satisfied
68,23025,1,1,0,Dis Satisfied
44,41595,0,0,1,Satisfied
48,70382,0,1,0,Satisfied
57,39967,1,1,1,Satisfied
28,64938,0,1,1,Satisfied
62,18058,0,1,0,Satisfied
30,72850,1,1,1,Satisfied
53,37935,1,1,0,Satisfied
47,18081,1,0,1,Satisfied
71,5078,0,1,1,Satisfied
43,34072,1,1,1,Satisfied
41,84245,0,1,1,Satisfied
47,92546,0,0,1,Satisfied
41,33039,1,1,0,Satisfied
40,6072,0,0,1,Satisfied
61,16064,0,1,1,Dis Satisfied
23,52974,1,1,1,Satisfied
39,40117,0,0,0,Dis Satisfied
51,36082,0,1,1,Dis Satisfied
59,13918,1,0,0,Dis Satisfied
33,31080,1,1,0,Dis Satisfied
57,34014,1,1,1,Dis Satisfied
40,103392,0,0,1,Satisfied
70,22988,0,1,0,Dis Satisfied
26,102500,0,0,1,Satisfied
32,75993,0,0,1,Satisfied
42,86814,0,1,1,Satisfied
43,102057,0,1,1,Satisfied
71,12028,1,1,1,Dis Satisfied
71,22064,1,0,1,Dis Satisfied
24,86457,1,1,1,Satisfied
71,19011,0,1,0,Dis Satisfied
33,22965,1,0,0,Dis Satisfied
63,21063,0,0,0,Dis Satisfied
41,72562,0,0,1,Satisfied
57,31960,1,0,1,Dis Satisfied
48,83180,0,0,1,Satisfied
54,5958,1,1,0,Dis Satisfied
43,33068,0,0,1,Dis Satisfied
46,32037,1,1,0,Dis Satisfied
65,14921,1,1,0,Dis Satisfied
51,30929,0,1,0,Dis Satisfied
37,80954,0,1,0,Satisfied
48,36064,0,0,1,Dis Satisfied
43,60261,0,1,1,Satisfied
57,17968,1,0,0,Dis Satisfied
38,81501,0,0,1,Satisfied
35,59831,0,0,1,Satisfied
33,8057,1,1,0,Dis Satisfied
30,80706,0,0,1,Satisfied
39,26101,1,0,1,Dis Satisfied
58,37977,0,0,1,Dis Satisfied
40,31939,1,1,0,Satisfied
47,84777,1,1,1,Satisfied
30,64784,1,0,1,Satisfied
47,38002,0,1,1,Dis Satisfied
38,33949,1,1,1,Satisfied
37,57399,1,0,1,Satisfied
58,39042,1,0,0,Dis Satisfied
37,83430,0,0,1,Satisfied
39,90008,0,0,1,Satisfied
46,72695,1,1,1,Satisfied
43,87209,0,1,1,Satisfied
49,18047,1,0,0,Dis Satisfied
40,37971,0,0,1,Dis Satisfied
59,8060,1,0,1,Dis Satisfied
51,23057,1,1,0,Dis Satisfied
21,71683,0,1,0,Satisfied
64,14083,1,1,0,Dis Satisfied
25,46242,0,1,0,Satisfied
58,17089,0,1,1,Dis Satisfied
34,35064,0,0,1,Dis Satisfied
22,71205,0,0,1,Satisfied
71,6086,1,0,0,Dis Satisfied
27,99656,1,0,1,Satisfied
47,70558,0,1,1,Satisfied
35,38111,1,0,0,Dis Satisfied
37,36112,1,0,1,Satisfied
24,84579,0,0,1,Satisfied
28,58267,0,1,1,Satisfied
31,34016,0,0,0,Satisfied
63,9974,0,1,1,Dis Satisfied
39,25078,1,1,0,Dis Satisfied
46,30069,0,0,0,Satisfied
61,27972,1,0,0,Dis Satisfied
34,100106,0,1,1,Satisfied
36,30112,1,0,0,Dis Satisfied
39,63696,1,1,1,Satisfied
36,74771,1,1,1,Satisfied
32,94061,0,0,1,Satisfied
37,80862,1,1,1,Satisfied
34,36766,0,1,0,Dis Satisfied
53,19947,1,1,0,Dis Satisfied
51,34062,0,0,0,Dis Satisfied
57,30107,1,1,0,Dis Satisfied
38,59911,1,0,1,Satisfied
72,35000,0,0,1,Dis Satisfied
73,21921,0,1,0,Dis Satisfied
35,57376,0,0,0,Satisfied
73,27067,0,0,1,Dis Satisfied
54,8979,0,1,1,Dis Satisfied
59,17105,0,1,0,Dis Satisfied
55,33003,1,1,0,Dis Satisfied
41,89839,1,1,1,Satisfied
50,51508,1,0,0,Satisfied
71,32113,0,0,0,Dis Satisfied
42,30021,1,1,0,Dis Satisfied
65,38091,0,0,1,Dis Satisfied
72,20089,0,0,1,Dis Satisfied
33,31954,1,0,0,Dis Satisfied
54,5010,0,0,0,Dis Satisfied
43,47778,0,0,1,Satisfied
27,78288,0,0,1,Satisfied
40,34002,1,0,0,Dis Satisfied
74,10032,1,1,0,Dis Satisfied
57,18953,0,1,0,Dis Satisfied
74,18912,0,1,1,Dis Satisfied
46,4935,1,1,1,Dis Satisfied
72,35028,1,1,0,Dis Satisfied
53,29043,0,0,1,Dis Satisfied
73,12951,0,1,1,Dis Satisfied
25,96673,0,1,1,Satisfied
41,15959,0,0,1,Dis Satisfied
39,88726,1,0,1,Satisfied
49,74381,1,1,1,Satisfied
35,30014,0,1,0,Dis Satisfied
41,31027,1,1,0,Dis Satisfied
39,62314,1,1,1,Satisfied
32,14027,0,1,0,Dis Satisfied
65,17047,0,0,0,Dis Satisfied
50,16023,0,1,1,Dis Satisfied
41,20096,1,1,1,Dis Satisfied
25,48280,0,1,1,Satisfied
49,26083,1,0,1,Dis Satisfied
32,44826,1,0,1,Satisfied
42,97398,1,0,0,Satisfied
58,11036,0,1,0,Dis Satisfied
44,7953,1,1,1,Dis Satisfied
52,27060,1,1,0,Dis Satisfied
71,13101,1,0,1,Dis Satisfied
25,88354,0,1,1,Satisfied
23,56458,0,0,0,Satisfied
64,15948,0,1,0,Dis Satisfied
42,31052,0,0,0,Dis Satisfied
38,11966,0,0,1,Dis Satisfied
46,87981,0,0,1,Satisfied
68,19107,0,1,1,Dis Satisfied
66,30102,0,0,0,Dis Satisfied
32,36650,0,1,0,Satisfied
47,69977,1,0,0,Satisfied
40,13062,1,0,0,Dis Satisfied
42,54502,0,0,0,Satisfied
57,14962,1,0,0,Dis Satisfied
24,51971,1,0,1,Satisfied
43,35088,0,1,0,Dis Satisfied
44,55644,0,0,0,Satisfied
48,18089,1,1,1,Dis Satisfied
46,88187,1,0,1,Satisfied
47,55258,0,0,0,Satisfied
32,32982,1,1,1,Satisfied
67,10002,0,1,0,Dis Satisfied
39,32032,0,0,0,Dis Satisfied
75,13973,0,0,1,Dis Satisfied
35,46289,1,0,1,Satisfied
40,53327,0,1,0,Satisfied
60,13061,1,0,0,Dis Satisfied
30,69451,0,0,0,Satisfied
45,36245,1,0,0,Satisfied
26,39112,0,1,1,Satisfied
40,36928,0,0,0,Dis Satisfied
31,50515,0,0,1,Satisfied
29,65999,1,0,0,Satisfied
64,15948,1,1,1,Dis Satisfied
38,31108,1,0,0,Dis Satisfied
47,64363,0,1,1,Satisfied
38,72367,0,1,1,Satisfied
21,31940,1,1,1,Satisfied
43,28007,0,0,0,Dis Satisfied
30,36548,0,1,1,Satisfied
32,36071,0,1,0,Dis Satisfied
57,18029,0,1,0,Dis Satisfied
58,17975,0,1,0,Dis Satisfied
73,14060,1,0,0,Dis Satisfied
64,38944,1,1,1,Dis Satisfied
45,59738,0,0,1,Satisfied
38,83160,0,1,0,Satisfied
26,96517,1,0,1,Satisfied
27,77669,0,0,1,Satisfied
71,8032,0,0,0,Dis Satisfied
55,18065,1,0,0,Dis Satisfied
35,36088,1,1,1,Satisfied
29,48415,1,1,1,Satisfied
22,51183,1,0,1,Satisfied
24,76494,0,1,1,Satisfied
45,67711,0,1,1,Satisfied
63,38951,1,1,0,Dis Satisfied
48,5950,1,0,0,Dis Satisfied
27,80956,0,0,1,Satisfied
35,39037,1,1,1,Satisfied
23,82426,1,0,0,Satisfied
23,56440,0,1,1,Satisfied
38,7017,0,1,0,Dis Satisfied
35,47204,0,1,1,Satisfied
24,65144,0,0,1,Satisfied
25,92457,0,0,0,Satisfied
47,28963,0,0,0,Dis Satisfied
56,4963,0,0,0,Dis Satisfied
65,6993,0,1,0,Dis Satisfied
41,15064,0,1,0,Dis Satisfied
33,52357,0,1,1,Satisfied
34,39037,1,0,1,Dis Satisfied
68,20945,0,1,0,Dis Satisfied
26,90341,0,1,0,Satisfied
38,7919,0,1,0,Dis Satisfied
59,30989,1,0,0,Dis Satisfied
39,82266,1,0,1,Satisfied
30,46573,1,1,0,Satisfied
38,78700,0,1,1,Satisfied
66,5944,1,0,0,Dis Satisfied
36,59408,0,1,1,Satisfied
48,100925,0,1,0,Satisfied
36,39628,0,1,1,Satisfied
39,37920,1,0,0,Satisfied
57,30973,1,0,0,Dis Satisfied
26,69554,0,0,0,Satisfied
24,100171,0,1,1,Satisfied
38,73465,1,0,1,Satisfied
39,37091,1,0,0,Satisfied
37,37981,1,1,1,Satisfied
21,92431,0,1,1,Satisfied
50,37912,1,0,1,Satisfied
58,35973,0,1,0,Dis Satisfied
71,26050,1,0,0,Dis Satisfied
44,10076,0,1,1,Dis Satisfied
26,31113,0,0,1,Satisfied
38,38950,0,0,1,Satisfied
53,19929,0,0,0,Dis Satisfied
40,19924,0,1,1,Dis Satisfied
43,36938,0,0,1,Dis Satisfied
39,99150,1,0,1,Satisfied
34,23099,0,1,0,Dis Satisfied
45,50858,1,0,1,Satisfied
58,28088,0,1,1,Dis Satisfied
24,35990,1,0,1,Satisfied
25,48033,0,1,0,Satisfied
43,47000,0,1,0,Satisfied
38,18031,0,1,1,Dis Satisfied
28,61285,0,0,1,Satisfied
29,62611,1,0,1,Satisfied
52,11909,1,0,0,Dis Satisfied
20,49236,1,0,1,Satisfied
51,38062,0,0,1,Dis Satisfied
45,50055,1,1,1,Satisfied
51,30957,0,0,0,Dis Satisfied
39,30057,0,1,0,Dis Satisfied
62,19934,1,1,0,Dis Satisfied
65,19972,0,1,0,Dis Satisfied
40,15925,0,0,0,Dis Satisfied
51,6934,1,1,1,Dis Satisfied
35,23917,1,0,1,Dis Satisfied
64,31952,0,0,0,Dis Satisfied
60,25966,0,0,0,Dis Satisfied
56,27014,1,1,1,Dis Satisfied
42,58731,1,1,1,Satisfied
23,94345,0,1,1,Satisfied
38,36107,1,1,0,Dis Satisfied
26,63122,1,1,0,Satisfied
52,39018,0,1,1,Dis Satisfied
66,8981,0,1,1,Dis Satisfied
61,21939,0,0,1,Dis Satisfied
27,67275,0,1,1,Satisfied
61,29015,1,0,0,Dis Satisfied
39,22035,1,0,0,Dis Satisfied
43,57780,0,1,1,Satisfied
52,14943,0,1,1,Dis Satisfied
44,77496,0,0,1,Satisfied
73,30932,0,1,1,Dis Satisfied
28,45137,1,1,1,Satisfied
22,62012,0,1,1,Satisfied
19,84870,0,0,0,Satisfied
57,9988,1,1,1,Dis Satisfied
38,36750,0,1,1,Satisfied
35,87956,0,0,1,Satisfied
21,66811,1,1,1,Satisfied
63,32114,1,1,0,Dis Satisfied
55,37043,0,0,0,Dis Satisfied
40,33021,0,0,0,Dis Satisfied
60,34018,0,0,0,Dis Satisfied
23,51131,0,1,0,Satisfied
55,28959,0,0,1,Dis Satisfied
32,36024,0,0,1,Dis Satisfied
34,33988,0,0,0,Dis Satisfied
47,97412,1,0,0,Satisfied
32,43652,1,0,1,Satisfied
26,88509,1,0,1,Satisfied
27,58809,0,1,1,Satisfied
38,96160,1,1,1,Satisfied
44,71589,1,1,0,Satisfied
48,95132,0,0,1,Satisfied
37,75402,1,1,1,Satisfied
65,24076,0,0,0,Dis Satisfied
54,26968,0,1,0,Dis Satisfied
67,31848,1,1,1,Dis Satisfied
38,10959,0,1,0,Dis Satisfied
21,74258,0,0,1,Satisfied
47,96073,0,0,1,Satisfied
37,89226,1,1,1,Satisfied
26,94280,0,0,1,Satisfied
23,36650,1,0,1,Satisfied
37,36966,1,1,0,Dis Satisfied
38,47399,0,0,1,Satisfied
37,19029,1,1,1,Dis Satisfied
42,74850,1,0,1,Satisfied
28,62807,1,0,1,Satisfied
48,28057,0,0,1,Dis Satisfied
31,40937,1,1,1,Dis Satisfied
54,36046,0,0,1,Dis Satisfied
46,94066,0,0,1,Satisfied
41,10070,1,0,0,Dis Satisfied
