area_sqft,num_rooms,num_floors,age,near_main_road,has_parking,price
1260,2,3,28,1,1,1003322.4416037223
1694,1,1,24,0,1,857481.0432425092
1530,4,1,19,0,1,1342674.3901991132
1495,3,2,29,1,1,1127786.167490969
2038,7,3,41,1,1,2709394.342296827
2569,7,3,27,1,1,2663815.5494455504
866,7,1,23,1,1,2112127.3590344875
1638,9,1,23,1,1,3313540.0989103406
730,9,3,22,1,1,2892286.138712458
1882,4,2,43,1,0,1582905.9399525693
2535,9,2,38,1,0,3747003.37852084
530,7,3,0,1,1,1999318.5888816523
2085,6,1,48,1,1,2118393.8677005423
1169,9,1,47,0,0,3048408.2605424263
2791,4,3,31,0,1,1915656.865610172
1915,1,3,4,1,1,1165214.99949695
2833,6,1,14,0,1,2438981.942400184
1615,1,3,9,1,0,968925.7883374676
1355,9,3,32,0,1,3250410.571944646
2724,5,3,39,0,0,1940098.770407603
1584,2,3,22,0,1,1147300.560371726
859,8,1,37,0,0,2301958.9974970995
421,6,1,11,0,0,1343912.2077660891
2700,3,4,29,1,0,1787558.3303117629
1147,2,1,10,1,0,659733.0962028373
874,4,4,41,0,1,1059101.8377340226
1482,1,2,48,0,0,780952.0169008516
2958,1,1,19,0,0,1596680.6049818338
2447,5,3,37,0,0,1996698.7538157497
1375,9,2,3,1,1,3230330.5007574908
2206,5,2,41,0,0,1683249.7987899452
589,6,2,14,0,1,1571333.3924550046
962,9,4,16,0,0,2843182.640186295
2299,3,3,19,0,0,1441544.9497694103
1667,4,3,11,0,0,1553305.762778253
1928,2,2,37,0,0,1012046.6827939992
1046,4,2,6,0,0,1160928.3402009672
2468,8,2,9,1,1,3356757.2754777297
2614,2,2,38,1,0,1314576.2972640076
1697,4,3,36,1,1,1332444.1336077715
2835,8,4,2,1,1,3396761.7318214774
1000,7,1,46,0,0,1843367.2744203995
2763,9,2,28,0,0,3630594.5805487186
2461,2,2,37,1,1,1353313.7421139965
641,4,2,23,0,0,879822.163920144
2441,9,2,16,1,1,3690606.633736581
1763,6,4,2,0,1,2142515.780793236
2539,9,4,8,0,1,3776361.037048878
1790,9,3,25,0,0,3300857.913102159
1878,7,1,46,0,0,2346687.044627999
2956,7,2,13,1,1,3133071.8591753375
1175,8,4,49,0,0,2524697.8131146096
434,2,1,6,0,0,484530.342888531
2653,7,2,12,1,1,2888435.5613495037
2355,6,1,22,0,1,2201242.4560332214
1985,7,1,3,0,1,2380206.543911731
1421,6,1,36,1,0,1994640.4096672868
1529,3,3,28,1,0,1153595.281028288
1900,5,2,32,1,1,1735808.3091686822
1102,3,4,20,0,0,954343.2946169202
2849,6,1,47,1,1,2379389.5174225364
1979,3,2,49,1,1,1223284.6822284153
561,2,2,18,1,0,619564.4806565562
601,4,4,4,0,0,943863.1926253526
2381,9,4,14,1,0,3740488.909738949
1395,1,3,45,0,1,792744.9505480534
2717,8,3,39,0,0,3073298.0827292064
1215,5,3,38,0,1,1422953.7953237786
855,2,1,41,1,1,716610.3451289943
1675,9,4,3,1,0,3322119.3678045445
1416,2,3,23,0,0,785260.9407922339
2743,3,1,49,0,0,1552499.763805742
737,1,2,44,1,0,451493.3242600763
1278,1,2,48,1,0,801744.802161244
1476,2,4,46,1,1,936211.9050845816
1191,2,3,39,0,1,920291.6071030038
2664,6,2,46,0,0,2211621.2416758756
1163,8,1,33,0,1,2324473.8835699484
2635,4,4,19,0,0,1742240.0282739664
779,3,1,49,1,0,768575.4194947972
892,2,3,16,0,0,676364.6598622295
1580,1,3,12,0,1,1014368.3545296005
2462,8,4,29,0,0,3186726.904098965
464,7,4,0,0,1,1771177.6426985725
2968,2,3,7,0,1,1542267.2457475031
1767,7,3,17,0,0,2314084.207816169
1552,6,4,0,0,1,1830388.5104741442
2427,8,3,19,1,1,3189312.3196552675
1895,6,2,36,0,1,1953673.7478582487
1562,4,3,38,1,1,1359346.5129622498
1922,8,2,36,1,1,2915503.274001674
791,1,3,4,0,1,589114.1798837718
2098,1,4,25,1,0,1180042.7148068864
818,4,2,41,0,0,980967.5186425092
2736,1,3,21,1,0,1425236.000316727
778,5,2,25,1,1,1124804.3973898324
2196,9,4,5,1,1,3726020.1869396735
2678,9,3,7,0,1,3697834.6027080915
2488,9,3,47,1,0,3517896.91751911
2582,6,4,38,0,1,2406140.802626619
600,1,1,8,0,0,308551.2614275266
2263,5,1,6,1,1,1949634.369394198
1179,2,2,25,1,0,823400.654151469
902,1,4,40,0,0,579542.6318738677
2854,5,2,43,0,1,2176648.373606948
2151,5,3,17,0,0,1870080.4332255162
1204,1,3,33,1,1,676914.8569170964
2546,7,3,23,1,0,2810426.6523489547
2295,3,3,0,1,1,1558233.028829409
1970,6,1,42,0,1,2025145.0663249178
1360,2,3,4,1,0,902008.2965469206
1885,9,1,32,0,0,3368485.8063291027
1428,2,4,48,0,0,824635.1042302947
902,2,4,15,0,0,613922.2624514281
797,1,4,32,0,0,502851.73559737694
1270,1,2,24,0,1,802978.2358271086
792,4,2,22,0,0,848741.230608186
606,7,1,5,1,0,1813993.7030517804
1438,4,2,29,1,0,1397911.840639194
2281,5,3,2,0,0,1741581.2135531884
1884,6,2,18,1,0,1970424.2955776458
1263,5,2,29,1,0,1461934.5360333568
963,5,1,39,1,0,1274246.290860301
1420,4,4,23,1,1,1337004.2458931196
495,9,2,45,0,0,2747738.797539299
2323,5,3,41,1,1,1950272.4278444885
2157,9,3,28,0,1,3615118.5325963553
2932,4,1,16,0,1,1975226.622805629
2678,9,1,37,1,0,3650872.493269831
2078,5,4,40,0,1,1665294.8966815842
940,8,3,24,1,1,2482674.111870669
1459,1,2,45,0,1,899378.5112113488
2972,4,2,45,1,0,2010731.1697342724
1583,4,1,43,0,1,1288175.3874235577
2122,2,3,0,1,1,1152856.8529166256
2219,3,3,15,1,0,1509025.895076593
1997,8,3,11,0,1,2766909.832399656
1195,8,3,10,0,1,2666941.3760548653
1451,1,2,9,0,0,771345.5453320923
2043,2,2,2,0,1,1207998.7841870075
1763,4,4,28,1,0,1325159.3403711622
2381,6,4,33,0,1,2223388.2847428336
1754,3,1,30,0,0,1013653.1683424711
2063,7,1,3,1,0,2490119.3970962027
1929,3,1,31,1,1,1326115.174696939
2438,8,3,46,1,1,3334471.8596259877
1896,6,1,2,1,0,1890981.6613810097
2637,8,1,44,0,0,3055715.0193529166
1808,7,2,49,0,0,2421418.1874854397
1800,5,3,35,1,1,1647189.7120533022
1706,5,1,17,0,1,1628680.9956497066
1372,3,1,37,0,0,962247.8059628683
2168,4,4,21,0,1,1679426.3535595348
1682,8,3,47,1,0,3030374.3829347743
1109,5,1,45,1,0,1246495.0957653208
1879,9,2,4,1,0,3336355.760780706
1834,3,4,43,1,0,1585076.0754451202
1048,3,4,20,1,0,803136.2135386774
717,8,1,4,1,0,2211354.5595073733
1657,8,2,25,0,0,2609158.364488136
1083,7,4,21,1,0,2120162.5678456067
1063,6,2,8,0,1,1731329.3880342648
2398,7,3,21,1,0,2623457.4498526477
2031,7,3,44,1,1,2675935.79881189
1895,6,3,11,1,0,1883617.1341018772
1536,9,1,41,1,0,3160644.801951265
2253,5,3,12,0,0,1955929.9436812897
1920,5,4,38,0,1,1538798.6063336795
2889,6,4,19,0,1,2552366.588681275
963,4,2,4,0,1,1115047.6813935768
1691,9,1,2,0,1,3379365.266825445
2036,2,4,19,0,0,1092699.3393816852
1098,3,4,14,0,1,761491.9059636949
2560,9,2,27,1,1,3720427.7538989065
401,1,2,4,0,0,336556.74640977744
1041,5,3,29,1,1,1490890.0056693302
2667,3,4,13,0,1,1707237.342639891
1989,3,2,0,1,0,1439961.3350706175
1254,1,2,45,0,1,432308.8386496174
2159,8,4,42,1,1,3096177.168182818
2832,3,3,6,1,1,1678513.783454747
2061,4,2,27,0,0,1350016.6116713968
1553,5,1,28,1,0,1556118.7690351799
1476,5,4,7,0,0,1525196.832306711
2107,2,2,20,0,1,1277980.0507827238
2095,7,2,37,1,1,2555170.2805944984
2133,6,2,34,0,1,2187511.4111674605
1839,7,3,41,0,0,2446706.9492463167
2694,3,4,26,1,1,1648705.9663147223
1235,8,2,49,0,1,2688836.959397583
602,6,2,11,1,1,1479899.3918068232
522,7,4,19,1,0,1952057.0515494924
800,9,2,38,1,1,2814135.5936679533
1166,8,2,20,1,1,2565774.813151412
693,8,3,45,0,0,2438157.7722425666
